index,group,energ_kcal,lipid_tot,carbohydrt,protein,name
194,3.0,0.0,100.0,0.0,0.0,ESTEVIA (NATURAL FIT)
195,3.0,0.0,100.0,0.0,0.0,ESTEVIA (NUTRA LIGHT)
196,3.0,0.0,100.0,0.0,0.0,ESTEVIA (SPLENDA NATURALS)
197,3.0,0.0,95.0,0.0,0.0,ESTEVIA-SACAROSA (STEVIEN)
198,3.0,103.09,17.53,2.15,3.48,FLAN O GELATINA (PROMEDIO)
199,3.0,99.47,15.75,2.79,2.91,"FLAN PREPARADO, INDUSTRIALIZADO"
200,3.0,253.06,45.94,4.82,6.68,"FLAN, PREPARACION ESTANDARIZADA"
201,3.0,177.52,13.35,13.4,1.64,"FRESAS CON CREMA, PREPARACION ESTANDARIZADA"
202,3.0,143.25,22.43,6.21,1.43,"FRUTA CON CREMA Y AZUCAR (EXCEPTO FRESAS), PREPARACION ESTANDARIZADA"
203,3.0,220.51,25.94,11.64,3.4,"FRUTA CUBIERTA DE CHOCOLATE, PREPARACION ESTANDARIZADA"
204,3.0,7.17,1.41,0.05,0.27,"GELATINA CON AGUA, PREPARACION ESTANDARIZADA"
205,3.0,116.47,17.7,3.13,4.33,"GELATINA DE LECHE PREPARADA, INDUSTRIALIZADA"
206,3.0,60.24,5.68,2.83,3.0,"GELATINA DE LECHE, PREPARACION ESTANDARIZADA"
207,3.0,19.09,0.9,0.9,1.81,"GELATINA LIGHT PREPARADA, INDUSTRIALIZADA"
208,3.0,198.0,80.21,0.0,15.67,"GELATINA LIGHT, EN POLVO"
209,3.0,58.36,11.45,0.41,2.23,GELATINA EN POLVO
210,3.0,324.29,75.29,0.17,0.0,"GOMA DE MASCAR, CON AZUCAR TIPO BOMBIUX O BUBBALOO"
211,3.0,296.16,72.8,0.0,0.0,GOMA DE MASCAR (PROMEDIO)
212,3.0,0.0,0.0,0.0,0.0,GOMA DE MASCAR SIN AZ�CAR (TIPO TRIDENT)
213,3.0,340.0,81.27,0.0,3.64,GOMITAS CUBIERTAS DE AZUCAR
214,3.0,313.33,74.58,0.0,4.08,GOMITAS ENCHILADAS
215,3.0,318.52,55.17,6.82,9.07,"GORDITAS DE NATA, PREPARACION ESTANDARIZADA"
216,3.0,34.61,0.0,0.0,8.66,"GRENETINA, EN POLVO"
217,3.0,147.05,24.3,4.69,1.91,"HELADO CON GALLETA, SANDWICH (TIPO MORDIZCO)"
218,3.0,216.0,28.2,11.0,3.8,"HELADO, DE CHOCOLATE"
219,3.0,192.0,27.6,8.4,3.2,"HELADO, DE FRESA"
220,3.0,209.75,23.04,11.49,3.36,HELADO DE LECHE
221,3.0,207.0,23.6,11.0,3.5,"HELADO, DE VAINILLA"
222,3.0,276.66,54.16,0.0,0.0,"JALEA O ATE, DE FRUTAS (EXCEPTO MEMBRILLO)"
